State,STABBR,Population
.Alabama,AL,"5,031,362"
.Alaska,AK,"732,923"
.Arizona,AZ,"7,179,943"
.Arkansas,AR,"3,014,195"
.California,CA,"39,501,653"
.Colorado,CO,"5,784,865"
.Connecticut,CT,"3,597,362"
.Delaware,DE,"992,114"
.District of Columbia,DC,"670,868"
.Florida,FL,"21,589,602"
.Georgia,GA,"10,729,828"
.Hawaii,HI,"1,451,043"
.Idaho,ID,"1,849,202"
.Illinois,IL,"12,786,580"
.Indiana,IN,"6,788,799"
.Iowa,IA,"3,190,571"
.Kansas,KS,"2,937,919"
.Kentucky,KY,"4,507,445"
.Louisiana,LA,"4,651,664"
.Maine,ME,"1,363,557"
.Maryland,MD,"6,173,205"
.Massachusetts,MA,"6,995,729"
.Michigan,MI,"10,069,577"
.Minnesota,MN,"5,709,852"
.Mississippi,MS,"2,958,141"
.Missouri,MO,"6,153,998"
.Montana,MT,"1,087,075"
.Nebraska,NE,"1,962,642"
.Nevada,NV,"3,115,648"
.New Hampshire,NH,"1,378,587"
.New Jersey,NJ,"9,271,689"
.New Mexico,NM,"2,118,390"
.New York,NY,"20,108,296"
.North Carolina,NC,"10,449,445"
.North Dakota,ND,"779,518"
.Ohio,OH,"11,797,517"
.Oklahoma,OK,"3,964,912"
.Oregon,OR,"4,244,795"
.Pennsylvania,PA,"12,994,440"
.Rhode Island,RI,"1,096,345"
.South Carolina,SC,"5,131,848"
.South Dakota,SD,"887,799"
.Tennessee,TN,"6,925,619"
.Texas,TX,"29,232,474"
.Utah,UT,"3,283,785"
.Vermont,VT,"642,893"
.Virginia,VA,"8,636,471"
.Washington,WA,"7,724,031"
.West Virginia,WV,"1,791,420"
.Wisconsin,WI,"5,896,271"
.Wyoming,WY,"577,605"
